state,activity,total_pct,male_pct,female_pct,age_15_17,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65plus,gender_gap
TAS,Cycling,9.22,10.29,8.26,7.55,8.05,9.8,7.38,11.61,10.65,7.99,2.0299999999999994
TAS,Pilates,4.87,1.03,8.76,0.0,4.0,8.49,4.54,4.54,5.33,3.05,-7.7299999999999995
TAS,Football/soccer,3.83,6.15,1.56,15.11,11.25,6.95,5.9,0.91,0.0,0.0,4.59
TAS,Yoga,4.97,1.39,8.61,9.21,1.48,6.79,5.1,6.46,4.61,3.59,-7.22
TAS,Basketball,3.62,5.13,1.98,16.43,10.38,6.79,3.73,0.91,0.44,0.58,3.15
TAS,Australian football,3.21,4.27,2.19,16.76,11.76,5.03,2.39,1.64,0.37,0.0,2.0799999999999996
TAS,Golf,4.93,8.17,1.73,0.0,3.27,4.95,4.49,5.78,7.38,3.93,6.4399999999999995
TAS,Tennis,3.7,4.12,3.05,0.0,7.19,4.68,2.9,2.62,4.77,2.23,1.0700000000000003
TAS,Netball,1.77,0.3,3.27,16.26,6.37,1.93,1.52,0.49,0.0,0.0,-2.97
TAS,Cricket,2.29,3.19,1.42,16.76,6.78,4.8,0.88,0.99,0.0,0.0,1.77
TAS,Dancing (recreational),2.12,0.46,3.8,0.0,4.85,3.21,1.9,1.49,0.41,2.43,-3.34
TAS,Surfing,1.59,2.04,1.0,0.0,2.42,3.13,2.0,1.41,0.72,0.76,1.04
TAS,Table tennis,1.13,1.57,0.7,0.0,1.77,1.75,1.06,1.03,1.49,0.27,0.8700000000000001
TAS,Volleyball (indoor and outdoor),0.53,0.14,0.93,9.21,1.78,0.39,0.0,0.0,0.0,0.0,-0.79
TAS,Weight lifting,1.51,1.63,1.39,0.0,1.52,2.16,3.07,1.13,1.16,0.52,0.24
TAS,Bowls,2.53,3.75,1.34,9.21,0.0,0.37,0.46,1.6,1.82,7.41,2.41
TAS,Badminton,1.23,1.05,1.42,0.0,1.53,3.67,1.02,0.45,0.37,0.72,-0.3699999999999999
TAS,Motor cycling,1.3,1.98,0.64,0.0,2.6,2.53,1.12,0.6,0.73,1.04,1.3399999999999999
TAS,Underwater sports,1.08,1.35,0.83,0.0,0.0,1.29,1.74,0.94,1.86,0.45,0.5200000000000001
TAS,Pickleball/padel,1.22,0.92,1.54,0.0,0.0,0.38,0.91,0.0,3.1,2.09,-0.62
NSW,Walking (Recreational),48.24,40.35,55.97,35.34,32.23,38.87,44.37,56.66,64.08,54.54,-15.619999999999997
NSW,Fitness/Gym,29.59,28.17,31.12,30.27,37.46,37.11,31.78,29.7,25.48,20.17,-2.9499999999999993
