activity,entity_type,pct,total_organised
Pilates,Personal trainer,0.434,5.56
Pilates,Educational institution,0.067,5.56
Rugby league,Sports club,0.275,0.534
Rugby league,Recreation club,0.081,0.534
Rugby league,Gym/fitness centre,0.07,0.534
Rugby league,Private/commercial,0.044,0.534
Rugby league,Personal trainer,0.063,0.534
Rugby league,Educational institution,0.105,0.534
Rugby union,Sports club,0.168,0.306
Rugby union,Recreation club,0.067,0.306
Rugby union,Gym/fitness centre,0.031,0.306
Rugby union,Private/commercial,0.023,0.306
Rugby union,Personal trainer,0.032,0.306
Rugby union,Educational institution,0.06,0.306
Running/jogging,Sports club,0.696,4.923
Running/jogging,Recreation club,0.523,4.923
Running/jogging,Gym/fitness centre,0.647,4.923
Running/jogging,Private/commercial,0.322,4.923
Running/jogging,Personal trainer,0.401,4.923
Running/jogging,Educational institution,0.439,4.923
Swimming,Sports club,0.483,2.672
Swimming,Recreation club,0.268,2.672
Swimming,Gym/fitness centre,0.766,2.672
Swimming,Private/commercial,0.343,2.672
Swimming,Personal trainer,0.37,2.672
Swimming,Educational institution,0.298,2.672
Table tennis,Sports club,0.189,0.593
Table tennis,Recreation club,0.122,0.593
Table tennis,Gym/fitness centre,0.075,0.593
Table tennis,Private/commercial,0.032,0.593
Table tennis,Personal trainer,0.072,0.593
Table tennis,Educational institution,0.117,0.593
Tennis,Sports club,0.872,1.95
Tennis,Recreation club,0.288,1.95
Tennis,Gym/fitness centre,0.175,1.95
Tennis,Private/commercial,0.171,1.95
Tennis,Personal trainer,0.339,1.95
Tennis,Educational institution,0.194,1.95
Touch football,Sports club,0.284,0.538
Touch football,Recreation club,0.081,0.538
Touch football,Gym/fitness centre,0.03,0.538
Touch football,Private/commercial,0.008,0.538
Touch football,Personal trainer,0.005,0.538
Touch football,Educational institution,0.081,0.538
Underwater sports,Sports club,0.035,0.372
Underwater sports,Recreation club,0.029,0.372
Underwater sports,Gym/fitness centre,0.014,0.372
Underwater sports,Private/commercial,0.228,0.372
Underwater sports,Personal trainer,0.033,0.372
Underwater sports,Educational institution,0.03,0.372
Volleyball (indoor and outdoor),Sports club,0.257,0.871
Volleyball (indoor and outdoor),Recreation club,0.153,0.871
Volleyball (indoor and outdoor),Gym/fitness centre,0.102,0.871
Volleyball (indoor and outdoor),Private/commercial,0.066,0.871
Volleyball (indoor and outdoor),Personal trainer,0.024,0.871
Volleyball (indoor and outdoor),Educational institution,0.311,0.871
Walking (Recreational),Sports club,0.266,4.212
Walking (Recreational),Recreation club,0.351,4.212
Walking (Recreational),Gym/fitness centre,0.335,4.212
Walking (Recreational),Private/commercial,0.175,4.212
Walking (Recreational),Personal trainer,0.201,4.212
Walking (Recreational),Educational institution,0.361,4.212
Yoga,Sports club,0.071,2.907
Yoga,Recreation club,0.117,2.907
Yoga,Gym/fitness centre,0.862,2.907
Yoga,Private/commercial,1.55,2.907
Yoga,Personal trainer,0.173,2.907
Yoga,Educational institution,0.082,2.907
