comparison,activity,year_a,pct_a,year_b,pct_b,change_pp
2023/24 vs 2024/25,Motor cycling,2023/24,1.075,2024/25,1.054,-0.021
2023/24 vs 2024/25,Motor sport,2023/24,0.296,2024/25,0.253,-0.043
2023/24 vs 2024/25,Mountain biking,2023/24,0.725,2024/25,0.747,0.022
2023/24 vs 2024/25,Mountain climbing,2023/24,0.099,2024/25,0.14,0.041
2023/24 vs 2024/25,Muay Thai,2023/24,0.095,2024/25,0.135,0.04
2023/24 vs 2024/25,Netball,2023/24,2.021,2024/25,2.161,0.14
2023/24 vs 2024/25,Obstacle,2023/24,0.042,2024/25,0.05,0.008
2023/24 vs 2024/25,Orienteering,2023/24,0.03,2024/25,0.062,0.032
2023/24 vs 2024/25,Outrigger canoe,2023/24,0.027,2024/25,0.035,0.008
2023/24 vs 2024/25,Oztag,2023/24,0.269,2024/25,0.286,0.017
2023/24 vs 2024/25,Paddle sports,2023/24,0.198,2024/25,0.225,0.027
2023/24 vs 2024/25,Paintball,2023/24,0.044,2024/25,0.033,-0.011
2023/24 vs 2024/25,Parkour,2023/24,0.029,2024/25,0.03,0.001
2023/24 vs 2024/25,Petanque,2023/24,0.01,2024/25,0.006,-0.004
2023/24 vs 2024/25,Physical Culture,2023/24,0.042,2024/25,0.041,-0.001
2023/24 vs 2024/25,Pickleball/padel,2023/24,0.423,2024/25,1.047,0.624
2023/24 vs 2024/25,Pilates,2023/24,5.059,2024/25,6.447,1.388
2023/24 vs 2024/25,Polo,2023/24,0.003,2024/25,0.0,-0.003
2023/24 vs 2024/25,Polocrosse,2023/24,0.007,2024/25,0.004,-0.003
2023/24 vs 2024/25,Pony Club,2023/24,0.064,2024/25,0.041,-0.023
2023/24 vs 2024/25,Powerlifting,2023/24,0.051,2024/25,0.053,0.002
2023/24 vs 2024/25,Ready Steady Go Kids,2023/24,0.002,2024/25,0.01,0.008
2023/24 vs 2024/25,Rock climbing/Abseiling/Caving,2023/24,0.467,2024/25,0.468,0.001
2023/24 vs 2024/25,Rodeo,2023/24,0.003,2024/25,0.0,-0.003
2023/24 vs 2024/25,Rogaining,2023/24,0.01,2024/25,0.017,0.007
