activity,age_group,pct,total_pct,rank
DanceSport,18-24,2.579,1.123,23
DanceSport,25-34,1.262,1.123,23
DanceSport,35-44,1.05,1.123,23
DanceSport,45-54,0.701,1.123,23
DanceSport,55-64,0.656,1.123,23
DanceSport,65+,0.356,1.123,23
Fishing (recreational),15-17,1.074,1.07,24
Fishing (recreational),18-24,0.664,1.07,24
Fishing (recreational),25-34,0.927,1.07,24
Fishing (recreational),35-44,0.964,1.07,24
Fishing (recreational),45-54,1.439,1.07,24
Fishing (recreational),55-64,1.553,1.07,24
Fishing (recreational),65+,0.918,1.07,24
Canoeing/Kayaking,15-17,0.664,0.997,25
Canoeing/Kayaking,18-24,0.638,0.997,25
Canoeing/Kayaking,25-34,0.972,0.997,25
Canoeing/Kayaking,35-44,1.127,0.997,25
Canoeing/Kayaking,45-54,1.254,0.997,25
Canoeing/Kayaking,55-64,1.476,0.997,25
Canoeing/Kayaking,65+,0.676,0.997,25
Weight lifting,15-17,0.77,0.982,26
Weight lifting,18-24,1.566,0.982,26
Weight lifting,25-34,1.6,0.982,26
Weight lifting,35-44,1.094,0.982,26
Weight lifting,45-54,0.857,0.982,26
Weight lifting,55-64,0.691,0.982,26
Weight lifting,65+,0.382,0.982,26
Virtual based physical activity,15-17,3.748,0.95,27
Virtual based physical activity,18-24,1.745,0.95,27
Virtual based physical activity,25-34,1.427,0.95,27
Virtual based physical activity,35-44,0.827,0.95,27
Virtual based physical activity,45-54,0.697,0.95,27
Virtual based physical activity,55-64,0.272,0.95,27
Virtual based physical activity,65+,0.252,0.95,27
Motor cycling,15-17,1.502,0.947,28
Motor cycling,18-24,0.979,0.947,28
Motor cycling,25-34,1.41,0.947,28
Motor cycling,35-44,0.91,0.947,28
Motor cycling,45-54,0.792,0.947,28
Motor cycling,55-64,1.113,0.947,28
Motor cycling,65+,0.446,0.947,28
Boxing,15-17,0.982,0.848,29
Boxing,18-24,1.753,0.848,29
Boxing,25-34,1.571,0.848,29
Boxing,35-44,0.961,0.848,29
Boxing,45-54,0.745,0.848,29
Boxing,55-64,0.319,0.848,29
Boxing,65+,0.054,0.848,29
Underwater sports,15-17,0.722,0.836,30
Underwater sports,18-24,0.679,0.836,30
Underwater sports,25-34,1.049,0.836,30
Underwater sports,35-44,1.09,0.836,30
Underwater sports,45-54,0.817,0.836,30
Underwater sports,55-64,1.137,0.836,30
Underwater sports,65+,0.369,0.836,30
Bowls,15-17,0.147,0.834,31
Bowls,18-24,0.093,0.834,31
Bowls,25-34,0.288,0.834,31
Bowls,35-44,0.238,0.834,31
Bowls,45-54,0.425,0.834,31
Bowls,55-64,1.007,0.834,31
Bowls,65+,2.494,0.834,31
Ski & snowboard,15-17,0.269,0.812,32
Ski & snowboard,18-24,0.675,0.812,32
Ski & snowboard,25-34,0.893,0.812,32
Ski & snowboard,35-44,0.817,0.812,32
Ski & snowboard,45-54,1.007,0.812,32
Ski & snowboard,55-64,1.4,0.812,32
Ski & snowboard,65+,0.404,0.812,32
Rugby league,15-17,3.236,0.763,33
Rugby league,18-24,1.689,0.763,33
Rugby league,25-34,1.392,0.763,33
Rugby league,35-44,0.681,0.763,33
Rugby league,45-54,0.369,0.763,33
Rugby league,55-64,0.071,0.763,33
Rugby league,65+,0.013,0.763,33
