period,year_label,activity,total_pct,male_pct,female_pct,age_15_17,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65plus,rank,gender_gap,male_dominant
Jan–Dec 2025,2025,Rock climbing/Abseiling/Caving,0.457,0.534,0.36,1.791,0.978,0.604,0.545,0.249,0.159,0.046,43,0.17400000000000004,True
Jan–Dec 2025,2025,Equestrian,0.442,0.141,0.738,0.546,0.682,0.573,0.445,0.411,0.592,0.103,44,-0.597,False
Jan–Dec 2025,2025,Skate,0.396,0.386,0.375,1.194,0.663,0.6,0.475,0.429,0.115,0.007,45,0.01100000000000001,True
Jan–Dec 2025,2025,Squash,0.39,0.569,0.216,0.359,0.344,0.579,0.461,0.435,0.413,0.155,46,0.353,True
Jan–Dec 2025,2025,Rugby union,0.374,0.603,0.155,1.386,0.913,0.617,0.291,0.18,0.126,0.037,47,0.44799999999999995,True
Jan–Dec 2025,2025,Calisthenics,0.359,0.557,0.171,1.226,0.688,0.519,0.332,0.251,0.178,0.085,48,0.386,True
Jan–Dec 2025,2025,Sailing,0.327,0.459,0.202,0.299,0.135,0.166,0.219,0.362,0.687,0.4,49,0.257,True
Jan–Dec 2025,2025,Baseball,0.309,0.467,0.159,0.715,0.545,0.474,0.396,0.367,0.055,0.015,50,0.30800000000000005,True
Jan–Dec 2025,2025,Billiards/Snooker/Pool,0.304,0.425,0.189,0.425,0.392,0.486,0.274,0.253,0.259,0.166,51,0.236,True
Jan–Dec 2025,2025,Motor sport,0.254,0.404,0.094,0.739,0.398,0.422,0.212,0.18,0.217,0.042,52,0.31000000000000005,True
Jan–Dec 2025,2025,Flying disc,0.249,0.292,0.205,0.678,0.698,0.357,0.199,0.173,0.099,0.023,53,0.087,True
Jan–Dec 2025,2025,Rope skipping,0.248,0.184,0.307,0.442,0.38,0.426,0.297,0.188,0.193,0.021,54,-0.123,False
Jan–Dec 2025,2025,Air sports,0.224,0.313,0.14,0.352,0.506,0.39,0.216,0.122,0.117,0.056,55,0.173,True
Jan–Dec 2025,2025,Oztag,0.223,0.248,0.202,0.964,0.763,0.382,0.127,0.033,0.0,0.008,56,0.045999999999999985,True
Jan–Dec 2025,2025,Ice skating,0.214,0.103,0.314,1.661,0.389,0.233,0.17,0.112,0.069,0.0,57,-0.21100000000000002,False
Jan–Dec 2025,2025,eSports,0.211,0.324,0.089,0.133,0.735,0.396,0.171,0.109,0.044,0.008,58,0.23500000000000001,True
Jan–Dec 2025,2025,Paddle sports,0.209,0.205,0.214,0.0,0.109,0.211,0.209,0.247,0.347,0.185,59,-0.009000000000000008,False
Jan–Dec 2025,2025,Shooting/field,0.203,0.377,0.037,0.316,0.114,0.327,0.219,0.227,0.153,0.123,60,0.34,True
Jan–Dec 2025,2025,Karate,0.186,0.237,0.139,0.418,0.431,0.097,0.282,0.126,0.166,0.064,61,0.09799999999999998,True
Jan–Dec 2025,2025,Archery,0.179,0.243,0.119,0.283,0.161,0.293,0.276,0.192,0.108,0.029,62,0.124,True
Jan–Dec 2025,2025,Jujitsu,0.17,0.284,0.062,0.377,0.247,0.294,0.334,0.088,0.015,0.007,63,0.22199999999999998,True
Jan–Dec 2025,2025,Muay Thai,0.166,0.195,0.139,0.327,0.635,0.271,0.126,0.049,0.031,0.0,64,0.055999999999999994,True
Jan–Dec 2025,2025,Darts,0.162,0.216,0.112,0.0,0.266,0.137,0.164,0.167,0.211,0.128,65,0.104,True
Jan–Dec 2025,2025,Waterskiing/Wakeboarding,0.15,0.171,0.132,0.0,0.243,0.19,0.135,0.187,0.232,0.032,66,0.03900000000000001,True
Jan–Dec 2025,2025,Triathlon,0.143,0.184,0.105,0.288,0.169,0.19,0.22,0.228,0.034,0.008,67,0.079,True
Jan–Dec 2025,2025,Softball,0.136,0.116,0.153,0.307,0.238,0.18,0.16,0.106,0.153,0.0,68,-0.03699999999999999,False
Jan–Dec 2025,2025,Shooting/range,0.136,0.228,0.047,0.0,0.082,0.193,0.211,0.141,0.091,0.107,69,0.181,True
Jan–Dec 2025,2025,Lifesaving surf,0.13,0.198,0.065,0.494,0.105,0.096,0.153,0.14,0.168,0.044,70,0.133,True
Jan–Dec 2025,2025,Taekwondo/Taekwon-do,0.115,0.147,0.085,0.882,0.213,0.094,0.056,0.101,0.053,0.016,71,0.061999999999999986,True
Jan–Dec 2025,2025,Handball,0.114,0.114,0.116,1.117,0.214,0.164,0.03,0.034,0.012,0.0,72,-0.0020000000000000018,False
Jan–Dec 2025,2025,Mountain climbing,0.099,0.131,0.069,0.082,0.122,0.129,0.152,0.122,0.087,0.014,73,0.062,True
Jan–Dec 2025,2025,Mixed martial arts,0.093,0.13,0.058,0.125,0.342,0.075,0.069,0.165,0.0,0.0,74,0.07200000000000001,True
Jan–Dec 2025,2025,Water polo,0.092,0.122,0.064,0.462,0.226,0.115,0.031,0.1,0.036,0.007,75,0.057999999999999996,True
Jan–Dec 2025,2025,Croquet,0.088,0.072,0.105,0.0,0.015,0.015,0.014,0.0,0.044,0.359,76,-0.033,False
Jan–Dec 2025,2025,Scootering,0.085,0.093,0.078,0.0,0.049,0.071,0.275,0.105,0.011,0.015,77,0.015,True
Jan–Dec 2025,2025,Dodgeball,0.077,0.072,0.082,0.492,0.143,0.161,0.06,0.0,0.0,0.0,78,-0.010000000000000009,False
Jan–Dec 2025,2025,Adventure racing,0.072,0.086,0.051,0.0,0.19,0.13,0.098,0.065,0.0,0.007,79,0.034999999999999996,True
Jan–Dec 2025,2025,Orienteering,0.07,0.068,0.073,0.351,0.06,0.012,0.104,0.094,0.047,0.036,80,-0.0049999999999999906,False
Jan–Dec 2025,2025,Dragon boat racing,0.07,0.058,0.082,0.0,0.033,0.036,0.069,0.083,0.149,0.073,81,-0.024,False
Jan–Dec 2025,2025,Jet skiing,0.067,0.111,0.025,0.0,0.073,0.061,0.105,0.072,0.119,0.016,82,0.086,True
Jan–Dec 2025,2025,Judo,0.066,0.052,0.081,0.494,0.118,0.084,0.031,0.046,0.018,0.008,83,-0.029000000000000005,False
Jan–Dec 2025,2025,Gaelic football,0.063,0.1,0.028,0.0,0.106,0.212,0.03,0.053,0.0,0.0,84,0.07200000000000001,True
Jan–Dec 2025,2025,Physical Culture,0.061,0.023,0.098,0.0,0.0,0.036,0.053,0.031,0.055,0.158,85,-0.07500000000000001,False
Jan–Dec 2025,2025,Ice hockey,0.061,0.078,0.044,0.344,0.115,0.041,0.095,0.047,0.015,0.0,86,0.034,True
Jan–Dec 2025,2025,Obstacle,0.056,0.04,0.073,0.435,0.02,0.06,0.076,0.074,0.0,0.0,87,-0.032999999999999995,False
Jan–Dec 2025,2025,Synchronised swimming,0.052,0.061,0.044,0.0,0.071,0.104,0.076,0.074,0.014,0.0,88,0.017,True
Jan–Dec 2025,2025,Diving,0.05,0.065,0.036,0.0,0.189,0.034,0.043,0.033,0.051,0.017,89,0.029000000000000005,True
Jan–Dec 2025,2025,Pony Club,0.046,0.028,0.059,0.197,0.106,0.052,0.057,0.011,0.018,0.009,90,-0.030999999999999996,False
Jan–Dec 2025,2025,Fencing,0.045,0.051,0.04,0.145,0.158,0.06,0.0,0.051,0.0,0.016,91,0.010999999999999996,True
Jan–Dec 2025,2025,Gridiron,0.045,0.073,0.019,0.264,0.142,0.045,0.03,0.021,0.015,0.0,92,0.05399999999999999,True
Jan–Dec 2025,2025,Powerlifting,0.042,0.05,0.035,0.0,0.094,0.075,0.056,0.017,0.046,0.0,93,0.015,True
Jan–Dec 2025,2025,Body building,0.041,0.076,0.008,0.0,0.1,0.132,0.018,0.0,0.0,0.016,94,0.068,True
Jan–Dec 2025,2025,Wrestling,0.04,0.06,0.018,0.0,0.091,0.094,0.04,0.044,0.0,0.0,95,0.041999999999999996,True
Jan–Dec 2025,2025,Circus,0.034,0.01,0.057,0.206,0.049,0.082,0.026,0.0,0.0,0.0,96,-0.047,False
Jan–Dec 2025,2025,Wood chopping,0.033,0.056,0.011,0.0,0.02,0.0,0.027,0.053,0.065,0.045,97,0.045,True
Jan–Dec 2025,2025,Geocaching,0.032,0.035,0.025,0.0,0.023,0.015,0.069,0.031,0.051,0.017,98,0.010000000000000002,True
Jan–Dec 2025,2025,Lacrosse,0.03,0.025,0.036,0.206,0.074,0.023,0.015,0.028,0.016,0.0,99,-0.010999999999999996,False
Jan–Dec 2025,2025,Kendo,0.03,0.047,0.014,0.125,0.054,0.038,0.027,0.033,0.014,0.0,100,0.033,True
Jan–Dec 2025,2025,BMX,0.028,0.032,0.025,0.0,0.042,0.025,0.061,0.057,0.0,0.0,101,0.006999999999999999,True
Jan–Dec 2025,2025,Floorball,0.028,0.028,0.029,0.165,0.053,0.045,0.041,0.0,0.0,0.0,102,-0.0010000000000000009,False
Jan–Dec 2025,2025,Outrigger canoe,0.027,0.033,0.021,0.0,0.0,0.013,0.045,0.05,0.036,0.022,103,0.012,True
Jan–Dec 2025,2025,Eight ball,0.027,0.03,0.024,0.0,0.085,0.043,0.0,0.011,0.021,0.027,104,0.005999999999999998,True
Jan–Dec 2025,2025,Horse racing,0.024,0.038,0.012,0.0,0.035,0.053,0.013,0.049,0.0,0.007,105,0.026,True
Jan–Dec 2025,2025,Sword fighting,0.023,0.016,0.025,0.0,0.099,0.056,0.0,0.0,0.0,0.008,106,-0.009000000000000001,False
Jan–Dec 2025,2025,Rogaining,0.022,0.029,0.015,0.0,0.04,0.018,0.0,0.045,0.03,0.015,107,0.014000000000000002,True
Jan–Dec 2025,2025,Scouts,0.022,0.034,0.01,0.251,0.072,0.0,0.015,0.0,0.0,0.0,108,0.024,True
Jan–Dec 2025,2025,Parkour,0.022,0.01,0.035,0.351,0.024,0.011,0.013,0.0,0.0,0.0,109,-0.025,False
Jan–Dec 2025,2025,Boomerang throwing,0.015,0.031,0.0,0.21,0.0,0.014,0.018,0.0,0.0,0.0,110,0.031,True
Jan–Dec 2025,2025,Bocce/Boules,0.014,0.013,0.015,0.0,0.0,0.0,0.036,0.0,0.045,0.008,111,-0.002,False
Jan–Dec 2025,2025,Kitesurfing/kiteboarding,0.013,0.021,0.006,0.0,0.0,0.0,0.025,0.035,0.027,0.0,112,0.015000000000000001,True
Jan–Dec 2025,2025,Roller Derby,0.013,0.013,0.014,0.0,0.0,0.0,0.044,0.017,0.011,0.009,113,-0.0010000000000000009,False
